Time,Open,High,Low,Close,Volume,Spread
2024-05-28,170.41,170.421,170.401,170.404,258,14
2024-05-28,170.404,170.425,170.395,170.405,231,15
2024-05-28,170.405,170.415,170.341,170.345,444,14
2024-05-28,170.346,170.42,170.333,170.396,953,12
2024-05-28,170.402,170.423,170.317,170.338,854,10
2024-05-28,170.337,170.379,170.298,170.351,794,12
2024-05-28,170.352,170.498,170.337,170.465,1219,11
2024-05-28,170.459,170.5,170.415,170.444,941,11
2024-05-28,170.444,170.48,170.428,170.444,920,10
2024-05-28,170.443,170.446,170.409,170.437,768,10
2024-05-28,170.436,170.482,170.414,170.453,765,10
2024-05-28,170.462,170.462,170.408,170.437,599,11
2024-05-28,170.438,170.463,170.405,170.45,837,13
2024-05-28,170.45,170.471,170.392,170.397,697,11
2024-05-28,170.397,170.489,170.392,170.478,841,10
2024-05-28,170.48,170.484,170.435,170.45,614,10
2024-05-28,170.451,170.451,170.358,170.404,930,10
2024-05-28,170.403,170.442,170.383,170.438,617,13
2024-05-28,170.438,170.443,170.407,170.42,522,13
2024-05-28,170.416,170.502,170.386,170.483,570,13
2024-05-28,170.482,170.484,170.457,170.458,381,14
2024-05-28,170.458,170.476,170.423,170.453,653,11
2024-05-28,170.453,170.467,170.397,170.412,503,11
2024-05-28,170.409,170.429,170.398,170.424,530,10
2024-05-28,170.425,170.506,170.415,170.479,520,10
2024-05-28,170.48,170.519,170.436,170.502,766,10
2024-05-28,170.503,170.598,170.495,170.554,749,10
2024-05-28,170.561,170.605,170.559,170.57,863,11
2024-05-28,170.572,170.627,170.561,170.618,903,12
2024-05-28,170.619,170.639,170.569,170.587,838,10
2024-05-28,170.587,170.649,170.57,170.616,924,10
2024-05-28,170.617,170.66,170.572,170.587,1151,10
2024-05-28,170.585,170.642,170.527,170.625,1058,10
2024-05-28,170.626,170.688,170.613,170.639,951,10
2024-05-28,170.639,170.703,170.639,170.656,728,10
2024-05-28,170.655,170.669,170.613,170.645,951,10
2024-05-28,170.644,170.682,170.618,170.632,854,10
2024-05-28,170.633,170.641,170.52,170.536,1009,10
2024-05-28,170.535,170.556,170.495,170.517,845,10
2024-05-28,170.519,170.6,170.519,170.554,761,11
2024-05-28,170.555,170.638,170.537,170.635,668,10
2024-05-28,170.635,170.7,170.63,170.674,824,10
2024-05-28,170.675,170.719,170.666,170.701,850,10
2024-05-28,170.7,170.718,170.666,170.682,697,12
2024-05-28,170.683,170.696,170.608,170.618,746,10
2024-05-28,170.617,170.642,170.586,170.63,650,12
2024-05-28,170.628,170.649,170.592,170.641,573,12
2024-05-28,170.641,170.733,170.64,170.698,1038,10
2024-05-28,170.699,170.738,170.672,170.705,686,12
2024-05-28,170.704,170.724,170.676,170.713,572,10
2024-05-28,170.713,170.726,170.651,170.663,669,12
2024-05-28,170.663,170.669,170.469,170.504,1487,10
2024-05-28,170.505,170.532,170.404,170.457,1370,10
2024-05-28,170.459,170.488,170.362,170.446,1208,10
2024-05-28,170.447,170.486,170.403,170.411,1321,10
2024-05-28,170.408,170.465,170.383,170.432,1173,11
2024-05-28,170.433,170.445,170.307,170.358,1380,11
2024-05-28,170.358,170.396,170.304,170.367,1619,10
2024-05-28,170.365,170.408,170.337,170.359,1940,10
